subject,os,type,vendor,lineage,latest_version,desktop,iso_access,customers,maintained,official_image,other_refs
★,银河麒麟桌面操作系统,商业,麒麟软件有限公司（中国电子 CEC 旗下）,Debian/Ubuntu 系（官方未声明，注 1）[^R64][^R65],V11（2025-08）/ V10 SP1 2503（2025-04）[^R76][^R64],V10 SP1 = UKUI；V11 未公开（注 2）[^R64],公开列出·直链未解引用[^R87][^R88],党政·金融·电力·运营商·交通·教育·医疗·制造（厂商自述）｜**安可桌面 4 批在列**[^R90][^R91],活跃,未公开[^R7][^R8],
★,统信桌面操作系统 V25（UOS）,商业,统信软件技术有限公司（UnionTech）,Debian 系（官方未书面确认，注 3）[^R14],V25（2026-04-15）；V20 线 1070u4[^R53],DDE（V25 起 Treeland + Qt6）[^R53],直接下载[^R89],党政·央国企·金融·教育·医疗·邮政（厂商自述）｜**安可桌面 3 批在列**[^R98][^R92],活跃,未公开[^R80][^R46][^R47],
,openKylin（开放麒麟）,社区开源,openKylin 社区,Debian 系[^R40],3.0「黄河」（2026-08-28）[^R73],UKUI 4.24（桌面 ISO 仅三架构，注 4）[^R73],直接下载[^R120],共建方与衍生方·高校科研·个人开发者·芯片生态（社区自述）[^R107],活跃,未公开[^R74][^R16][^R30],
,deepin（深度）,社区开源,深度科技 / deepin 社区,Debian 系[^R4],25.2.1（2026-08-04，仅在线更新）[^R57][^R4],DDE 7.0 + Treeland[^R57],直接下载[^R4],开发者·爱好者·高校学生（统信官方定义：社区版）[^R108][^R14],活跃,未公开[^R31],[^R14]
,openEuler,社区开源,openEuler 社区,独立选型，rpm/dnf[^R71],24.03 LTS SP4（2026-06-30）[^R71],无桌面 ISO；桌面以包提供 / DevStation = GNOME（注 5）[^R13][^R49],直接下载[^R49],服务器/云/边缘/嵌入式为主；桌面仅 DevStation 面向开发者（社区自述）[^R106][^R92],活跃,未公开[^R32][^R17][^R48],
★,麒麟信安操作系统（KylinSec）,商业,湖南麒麟信安科技,openEuler 系[^R72],V6 SP1（2026-06）[^R72],自研 Kiran / KiranUI[^R66],直接下载[^R119],电力·航天测发控（1 万余套）·党政·金融·交通·医疗（厂商自述）｜**桌面版不在安可桌面附表**[^R104][^R93],活跃,未公开,
,方德桌面操作系统 V5.0,商业,中科方德软件有限公司,deb 系（官方未声明，注 6）[^R50],V5.0（2022-06）；Pro 版 2025-09 过评[^R63][^R70],未公开（疑 MATE 衍生）[^R50],未查到公开下载（服务器版 ISO 匿名可下，桌面版查不到）[^R125][^R124],党政·医疗（500+ 医院）·电信·教育·金融·军工院所（厂商自述）｜**安可桌面 3 批在列**[^R99][^R91],活跃,未公开,
,Ubuntu Kylin（优麒麟）,社区开源,Canonical / 麒麟软件 CCN 联合实验室,Ubuntu 直系[^R5],26.04.1 LTS（2026-08-27，支持 3 年）[^R6][^R79],UKUI[^R78],直接下载[^R6],**全部个人向**：普通用户·开发者·科研人员·艺术工作者（官方文档）[^R109],活跃,未公开,
,Loongnix（龙芯）,社区开源,龙芯中科 / Loongnix 社区,Debian 系（25 线推断 trixie，注 7）[^R69],25.1（2026-08-20）/ 20.7（2026-07-17）[^R69],KDE[^R69],直接下载[^R69],芯片适配基准与生态展示·合作厂商·科研机构·爱好者·终端用户（官方自述）[^R113][^R92],活跃,未公开[^R9],
★,凝思安全操作系统,商业,北京凝思软件股份有限公司,Debian 系（证据最硬，注 8）[^R67],V6.0.80-20250816；并行 V6.0.100[^R67],无桌面版产品名，可选 GNOME/KDE/MATE/XFCE[^R67],直接下载[^R118],电力调度（国网/南网/发电集团）·涉密内网·运营商·军队列装（厂商自述）｜**桌面身份从未入安可**[^R101][^R93],活跃,未公开,[^R68]
